pizza_index,raw_menus,time_stamps,menus_clean,garnish,title
298,"Heirloom tomato (Oya Organics), red onion, Berkeley-made fresh ricotta cheese (Belfiore), mozzarella cheese;  garnished with garlic olive oil , Italian parsley",2019-08-01 20:25:29,"heirloom tomato (oya organics), red onion, berkeley-made fresh ricotta cheese (belfiore), mozzarella cheese","  garnished with garlic olive oil , Italian parsley",
299,"Red , yellow bell pepper, Valbreso feta cheese, mozzarella cheese;  garnished with house made olive tapenade , Italian parsley",2019-08-01 20:25:29,"red , yellow bell pepper, valbreso feta cheese, mozzarella cheese","  garnished with house made olive tapenade , Italian parsley",
300,"Corn, zucchini, red onion, Valbreso feta cheese, mozzarella cheese;  garnished with garlic olive oil, cilantro, lime",2019-08-01 20:25:29,"corn, zucchini, red onion, valbreso feta cheese, mozzarella cheese","  garnished with garlic olive oil, cilantro, lime",
304,"Heirloom tomato (Oya Organics), fennel, Asiago cheese, mozzarella cheese;  garnished with garlic olive oil , Italian parsley",2019-08-20 01:18:42,"heirloom tomato (oya organics), fennel, asiago cheese, mozzarella cheese","  garnished with garlic olive oil , Italian parsley",
305,"Mushroom, green bell pepper, Valbreso feta cheese, mozzarella cheese;  garnished with garlic olive oil , Italian parsley",2019-08-20 01:18:42,"mushroom, green bell pepper, valbreso feta cheese, mozzarella cheese","  garnished with garlic olive oil , Italian parsley",
306,"Organic peach (Peach Jamboree) , mozzarella cheese;  garnished with Dunbarton blue cheese , arugula dressed in lemon vinaigrette",2019-08-20 01:18:42,"organic peach (peach jamboree) , mozzarella cheese","  garnished with Dunbarton blue cheese , arugula dressed in lemon vinaigrette",
307,"Corn, red onion, zucchini, Valbreso feta cheese, mozzarella cheese; garnished with garlic olive oil, lime, cilantro",2019-08-20 01:18:42,"corn, red onion, zucchini, valbreso feta cheese, mozzarella cheese"," garnished with garlic olive oil, lime, cilantro",
308,"Organic Gypsy pepper (Oya Organics), red onion, Montalbano cheese, mozzarella cheese;  garnished with arugula dressed in sherry vinaigrette",2019-08-20 01:18:42,"organic gypsy pepper (oya organics), red onion, montalbano cheese, mozzarella cheese",  garnished with arugula dressed in sherry vinaigrette,
309,"Zucchini, Valbreso feta cheese, mozzarella cheese;  garnished with garlic olive oil , Italian parsley",2019-08-20 01:18:42,"zucchini, valbreso feta cheese, mozzarella cheese","  garnished with garlic olive oil , Italian parsley",
316,"Organic zucchini (Oya Organics), onion, Valbreso feta cheese, mozzarella cheese;  garnished with garlic olive oil, organic lemon zest, Italian parsley",2019-09-17 05:12:17,"organic zucchini (oya organics), onion, valbreso feta cheese, mozzarella cheese","  garnished with garlic olive oil, organic lemon zest, Italian parsley",
317,"Fresh tomato, onion, mozzarella cheese;  garnished with Ossau Iraty cheese, garlic olive oil, basil, Italian parsley",2019-09-17 05:12:17,"fresh tomato, onion, mozzarella cheese","  garnished with Ossau Iraty cheese, garlic olive oil, basil, Italian parsley",
318,"Fig , mozzarella cheese;  garnished with blue cheese , arugula dressed in lemon vinaigrette",2019-09-17 05:12:17,"fig , mozzarella cheese","  garnished with blue cheese , arugula dressed in lemon vinaigrette",
319,"Corn, red onion, Valbreso feta cheese, mozzarella cheese;  garnished with house made avocado sauce",2019-09-17 05:12:17,"corn, red onion, valbreso feta cheese, mozzarella cheese",  garnished with house made avocado sauce,
320,"Fresh tomato, onion, mozzarella cheese;  garnished with garlic olive oil , basil-parmesan",2019-09-17 05:12:17,"fresh tomato, onion, mozzarella cheese","  garnished with garlic olive oil , basil-parmesan",
321,"Crimini mushroom, onion , mozzarella cheese;  garnished with Moliterno truffle Pecorino cheese , arugula dressed in lemon vinaigrette",2019-09-17 05:12:17,"crimini mushroom, onion , mozzarella cheese","  garnished with Moliterno truffle Pecorino cheese , arugula dressed in lemon vinaigrette",
328,"Red , yellow bell pepper, onion, Valbreso feta cheese, mozzarella cheese;  garnished with house made olive tapenade , Italian parsley",2019-10-01 09:49:50,"red , yellow bell pepper, onion, valbreso feta cheese, mozzarella cheese","  garnished with house made olive tapenade , Italian parsley",
329,"Corn, onion, mozzarella cheese;  garnished with queso fresco cheese, house made tomatillo sauce, fresh cilantro",2019-10-01 09:49:50,"corn, onion, mozzarella cheese","  garnished with queso fresco cheese, house made tomatillo sauce, fresh cilantro",
330,"Organic Early Girl tomato (Oya Organics), onion, cheddar cheese, mozzarella cheese;  garnished with garlic olive oil, Italian parsley, oregano",2019-10-01 09:49:50,"organic early girl tomato (oya organics), onion, cheddar cheese, mozzarella cheese","  garnished with garlic olive oil, Italian parsley, oregano",
331,"Baby chard, baby kale, leeks, mozzarella cheese;  garnished with garlic olive oil, Montalban cheese, orange zest, lemon zest, Italian parsley",2019-10-01 09:49:50,"baby chard, baby kale, leeks, mozzarella cheese","  garnished with garlic olive oil, Montalban cheese, orange zest, lemon zest, Italian parsley",
332,"Crimini mushroom, baby spinach, caramelized onion, pine nut, Asiago cheese, mozzarella cheese; garnished with garlic olive oil , Italian parsley",2019-10-01 09:49:50,"crimini mushroom, baby spinach, caramelized onion, pine nut, asiago cheese, mozzarella cheese"," garnished with garlic olive oil , Italian parsley",
333,"Organic tomato (Oya Organics), onion, Fontina cheese, mozzarella cheese;  garnished with garlic olive oil, Italian parsley, oregano",2019-10-01 09:49:50,"organic tomato (oya organics), onion, fontina cheese, mozzarella cheese","  garnished with garlic olive oil, Italian parsley, oregano",
334,"Red , yellow bell pepper, onion, Valbreso feta cheese, mozzarella cheese;  garnished with house made olive tapenade , Italian parsley",2019-10-01 09:49:51,"red , yellow bell pepper, onion, valbreso feta cheese, mozzarella cheese","  garnished with house made olive tapenade , Italian parsley",
335,"Corn, onion, mozzarella cheese;  garnished with queso fresco cheese, house made tomatillo sauce, fresh cilantro",2019-10-01 09:49:51,"corn, onion, mozzarella cheese","  garnished with queso fresco cheese, house made tomatillo sauce, fresh cilantro",
336,"Organic Early Girl tomato (Oya Organics), onion, cheddar cheese, mozzarella cheese;  garnished with garlic olive oil, Italian parsley, oregano",2019-10-01 09:49:51,"organic early girl tomato (oya organics), onion, cheddar cheese, mozzarella cheese","  garnished with garlic olive oil, Italian parsley, oregano",
337,"Baby chard, baby kale, leeks, mozzarella cheese;  garnished with garlic olive oil, Montalban cheese, orange zest, lemon zest, Italian parsley",2019-10-01 09:49:51,"baby chard, baby kale, leeks, mozzarella cheese","  garnished with garlic olive oil, Montalban cheese, orange zest, lemon zest, Italian parsley",
338,"Crimini mushroom, baby spinach, caramelized onion, pine nut, Asiago cheese, mozzarella cheese; garnished with garlic olive oil , Italian parsley",2019-10-01 09:49:51,"crimini mushroom, baby spinach, caramelized onion, pine nut, asiago cheese, mozzarella cheese"," garnished with garlic olive oil , Italian parsley",
339,"Organic tomato (Oya Organics), onion, Fontina cheese, mozzarella cheese;  garnished with garlic olive oil, Italian parsley, oregano",2019-10-01 09:49:51,"organic tomato (oya organics), onion, fontina cheese, mozzarella cheese","  garnished with garlic olive oil, Italian parsley, oregano",
340,"Red , yellow bell pepper, onion, Valbreso feta cheese, mozzarella cheese;  garnished with house made olive tapenade , Italian parsley",2019-10-04 03:34:50,"red , yellow bell pepper, onion, valbreso feta cheese, mozzarella cheese","  garnished with house made olive tapenade , Italian parsley",
341,"Corn, onion, mozzarella cheese;  garnished with queso fresco cheese, house made tomatillo sauce, fresh cilantro",2019-10-04 03:34:50,"corn, onion, mozzarella cheese","  garnished with queso fresco cheese, house made tomatillo sauce, fresh cilantro",
342,"Organic Early Girl tomato (Oya Organics), onion, cheddar cheese, mozzarella cheese;  garnished with garlic olive oil, Italian parsley, oregano",2019-10-04 03:34:50,"organic early girl tomato (oya organics), onion, cheddar cheese, mozzarella cheese","  garnished with garlic olive oil, Italian parsley, oregano",
343,"Baby chard, baby kale, leeks, mozzarella cheese;  garnished with garlic olive oil, Montalban cheese, orange zest, lemon zest, Italian parsley",2019-10-04 03:34:50,"baby chard, baby kale, leeks, mozzarella cheese","  garnished with garlic olive oil, Montalban cheese, orange zest, lemon zest, Italian parsley",
344,"Crimini mushroom, baby spinach, caramelized onion, pine nut, Asiago cheese, mozzarella cheese; garnished with garlic olive oil , Italian parsley",2019-10-04 03:34:50,"crimini mushroom, baby spinach, caramelized onion, pine nut, asiago cheese, mozzarella cheese"," garnished with garlic olive oil , Italian parsley",
345,"Organic tomato (Oya Organics), onion, Fontina cheese, mozzarella cheese;  garnished with garlic olive oil, Italian parsley, oregano",2019-10-04 03:34:50,"organic tomato (oya organics), onion, fontina cheese, mozzarella cheese","  garnished with garlic olive oil, Italian parsley, oregano",
346,"Artichoke heart, baby spinach, Berkeley-made fresh ricotta cheese (Belfiore), mozzarella cheese;  garnished with garlic olive oil, organic lemon zest, Italian parsley",2019-11-11 17:32:48,"artichoke heart, baby spinach, berkeley-made fresh ricotta cheese (belfiore), mozzarella cheese","  garnished with garlic olive oil, organic lemon zest, Italian parsley",
347,"Red , yellow bell pepper, onion, Valbreso feta cheese, mozzarella cheese;  garnished with house made olive tapenade , Italian parsley",2019-11-11 17:32:48,"red , yellow bell pepper, onion, valbreso feta cheese, mozzarella cheese","  garnished with house made olive tapenade , Italian parsley",
348,"Tomato, onion, Gruyère cheese, mozzarella cheese;  garnished with garlic olive oil, oregano, Italian parsley",2019-11-11 17:32:48,"tomato, onion, gruyère cheese, mozzarella cheese","  garnished with garlic olive oil, oregano, Italian parsley",
349,"Roasted eggplant , mozzarella cheese; garnished with house made tzatziki sauce, fried spiced chickpea, mint, Italian parsley",2019-11-11 17:32:48,"roasted eggplant , mozzarella cheese"," garnished with house made tzatziki sauce, fried spiced chickpea, mint, Italian parsley",
350,"Cremini mushroom, caramelized onion, organic baby spinach, pine nut, fresh Asiago cheese, mozzarella cheese; garnished with garlic olive oil , Italian parsley",2019-11-11 17:32:48,"cremini mushroom, caramelized onion, organic baby spinach, pine nut, fresh asiago cheese, mozzarella cheese"," garnished with garlic olive oil , Italian parsley",
351,"Broccolini, onion, cheddar cheese, mozzarella cheese;  garnished with garlic olive oil, lemon zest, Italian parsley",2019-11-11 17:32:48,"broccolini, onion, cheddar cheese, mozzarella cheese","  garnished with garlic olive oil, lemon zest, Italian parsley",
352,"Artichoke heart, baby spinach, Berkeley-made fresh ricotta cheese (Belfiore), mozzarella cheese;  garnished with garlic olive oil, organic lemon zest, Italian parsley",2019-11-11 17:32:49,"artichoke heart, baby spinach, berkeley-made fresh ricotta cheese (belfiore), mozzarella cheese","  garnished with garlic olive oil, organic lemon zest, Italian parsley",
353,"Red , yellow bell pepper, onion, Valbreso feta cheese, mozzarella cheese;  garnished with house made olive tapenade , Italian parsley",2019-11-11 17:32:49,"red , yellow bell pepper, onion, valbreso feta cheese, mozzarella cheese","  garnished with house made olive tapenade , Italian parsley",
354,"Tomato, onion, Gruyère cheese, mozzarella cheese;  garnished with garlic olive oil, oregano, Italian parsley",2019-11-11 17:32:49,"tomato, onion, gruyère cheese, mozzarella cheese","  garnished with garlic olive oil, oregano, Italian parsley",
355,"Roasted eggplant , mozzarella cheese; garnished with house made tzatziki sauce, fried spiced chickpea, mint, Italian parsley",2019-11-11 17:32:49,"roasted eggplant , mozzarella cheese"," garnished with house made tzatziki sauce, fried spiced chickpea, mint, Italian parsley",
356,"Cremini mushroom, caramelized onion, organic baby spinach, pine nut, fresh Asiago cheese, mozzarella cheese; garnished with garlic olive oil , Italian parsley",2019-11-11 17:32:49,"cremini mushroom, caramelized onion, organic baby spinach, pine nut, fresh asiago cheese, mozzarella cheese"," garnished with garlic olive oil , Italian parsley",
357,"Broccolini, onion, cheddar cheese, mozzarella cheese;  garnished with garlic olive oil, lemon zest, Italian parsley",2019-11-11 17:32:49,"broccolini, onion, cheddar cheese, mozzarella cheese","  garnished with garlic olive oil, lemon zest, Italian parsley",
358,"Artichoke heart, baby spinach, Berkeley-made fresh ricotta cheese (Belfiore), mozzarella cheese;  garnished with garlic olive oil, organic lemon zest, Italian parsley",2019-11-12 18:50:14,"artichoke heart, baby spinach, berkeley-made fresh ricotta cheese (belfiore), mozzarella cheese","  garnished with garlic olive oil, organic lemon zest, Italian parsley",
359,"Red , yellow bell pepper, onion, Valbreso feta cheese, mozzarella cheese;  garnished with house made olive tapenade , Italian parsley",2019-11-12 18:50:14,"red , yellow bell pepper, onion, valbreso feta cheese, mozzarella cheese","  garnished with house made olive tapenade , Italian parsley",
360,"Tomato, onion, Gruyère cheese, mozzarella cheese;  garnished with garlic olive oil, oregano, Italian parsley",2019-11-12 18:50:14,"tomato, onion, gruyère cheese, mozzarella cheese","  garnished with garlic olive oil, oregano, Italian parsley",
361,"Roasted eggplant , mozzarella cheese; garnished with house made tzatziki sauce, fried spiced chickpea, mint, Italian parsley",2019-11-12 18:50:14,"roasted eggplant , mozzarella cheese"," garnished with house made tzatziki sauce, fried spiced chickpea, mint, Italian parsley",
362,"Cremini mushroom, caramelized onion, organic baby spinach, pine nut, fresh Asiago cheese, mozzarella cheese; garnished with garlic olive oil , Italian parsley",2019-11-12 18:50:14,"cremini mushroom, caramelized onion, organic baby spinach, pine nut, fresh asiago cheese, mozzarella cheese"," garnished with garlic olive oil , Italian parsley",
363,"Broccolini, onion, cheddar cheese, mozzarella cheese;  garnished with garlic olive oil, lemon zest, Italian parsley",2019-11-12 18:50:14,"broccolini, onion, cheddar cheese, mozzarella cheese","  garnished with garlic olive oil, lemon zest, Italian parsley",
370,"Artichoke heart, baby spinach, Berkeley-made fresh ricotta cheese (Belfiore), mozzarella cheese;  garnished with garlic olive oil, organic lemon zest, Italian parsley",2019-11-12 18:50:15,"artichoke heart, baby spinach, berkeley-made fresh ricotta cheese (belfiore), mozzarella cheese","  garnished with garlic olive oil, organic lemon zest, Italian parsley",
371,"Red , yellow bell pepper, onion, Valbreso feta cheese, mozzarella cheese;  garnished with house made olive tapenade , Italian parsley",2019-11-12 18:50:15,"red , yellow bell pepper, onion, valbreso feta cheese, mozzarella cheese","  garnished with house made olive tapenade , Italian parsley",
372,"Tomato, onion, Gruyère cheese, mozzarella cheese;  garnished with garlic olive oil, oregano, Italian parsley",2019-11-12 18:50:15,"tomato, onion, gruyère cheese, mozzarella cheese","  garnished with garlic olive oil, oregano, Italian parsley",
373,"Roasted eggplant , mozzarella cheese; garnished with house made tzatziki sauce, fried spiced chickpea, mint, Italian parsley",2019-11-12 18:50:15,"roasted eggplant , mozzarella cheese"," garnished with house made tzatziki sauce, fried spiced chickpea, mint, Italian parsley",
374,"Cremini mushroom, caramelized onion, organic baby spinach, pine nut, fresh Asiago cheese, mozzarella cheese; garnished with garlic olive oil , Italian parsley",2019-11-12 18:50:15,"cremini mushroom, caramelized onion, organic baby spinach, pine nut, fresh asiago cheese, mozzarella cheese"," garnished with garlic olive oil , Italian parsley",
375,"Broccolini, onion, cheddar cheese, mozzarella cheese;  garnished with garlic olive oil, lemon zest, Italian parsley",2019-11-12 18:50:15,"broccolini, onion, cheddar cheese, mozzarella cheese","  garnished with garlic olive oil, lemon zest, Italian parsley",
376,"Red , yellow bell pepper, onion, Valbreso feta cheese, mozzarella cheese;  garnished with house made olive tapenade , Italian parsley",2019-11-13 19:03:46,"red , yellow bell pepper, onion, valbreso feta cheese, mozzarella cheese","  garnished with house made olive tapenade , Italian parsley",
377,"Tomato, onion, Gruyère cheese, mozzarella cheese;  garnished with garlic olive oil, oregano, Italian parsley",2019-11-13 19:03:46,"tomato, onion, gruyère cheese, mozzarella cheese","  garnished with garlic olive oil, oregano, Italian parsley",
378,"Roasted eggplant , mozzarella cheese; garnished with house made tzatziki sauce, fried spiced chickpea, mint, Italian parsley",2019-11-13 19:03:46,"roasted eggplant , mozzarella cheese"," garnished with house made tzatziki sauce, fried spiced chickpea, mint, Italian parsley",
379,"Cremini mushroom, caramelized onion, organic baby spinach, pine nut, fresh Asiago cheese, mozzarella cheese; garnished with garlic olive oil , Italian parsley",2019-11-13 19:03:46,"cremini mushroom, caramelized onion, organic baby spinach, pine nut, fresh asiago cheese, mozzarella cheese"," garnished with garlic olive oil , Italian parsley",
380,"Broccolini, onion, cheddar cheese, mozzarella cheese;  garnished with garlic olive oil, lemon zest, Italian parsley",2019-11-13 19:03:46,"broccolini, onion, cheddar cheese, mozzarella cheese","  garnished with garlic olive oil, lemon zest, Italian parsley",
386,"Red , yellow bell pepper, onion, Valbreso feta cheese, mozzarella cheese;  garnished with house made olive tapenade , Italian parsley",2019-11-13 19:03:48,"red , yellow bell pepper, onion, valbreso feta cheese, mozzarella cheese","  garnished with house made olive tapenade , Italian parsley",
387,"Tomato, onion, Gruyère cheese, mozzarella cheese;  garnished with garlic olive oil, oregano, Italian parsley",2019-11-13 19:03:48,"tomato, onion, gruyère cheese, mozzarella cheese","  garnished with garlic olive oil, oregano, Italian parsley",
388,"Roasted eggplant , mozzarella cheese; garnished with house made tzatziki sauce, fried spiced chickpea, mint, Italian parsley",2019-11-13 19:03:48,"roasted eggplant , mozzarella cheese"," garnished with house made tzatziki sauce, fried spiced chickpea, mint, Italian parsley",
389,"Cremini mushroom, caramelized onion, organic baby spinach, pine nut, fresh Asiago cheese, mozzarella cheese; garnished with garlic olive oil , Italian parsley",2019-11-13 19:03:48,"cremini mushroom, caramelized onion, organic baby spinach, pine nut, fresh asiago cheese, mozzarella cheese"," garnished with garlic olive oil , Italian parsley",
390,"Broccolini, onion, cheddar cheese, mozzarella cheese;  garnished with garlic olive oil, lemon zest, Italian parsley",2019-11-13 19:03:48,"broccolini, onion, cheddar cheese, mozzarella cheese","  garnished with garlic olive oil, lemon zest, Italian parsley",
391,"Tomato, onion, Gruyère cheese, mozzarella cheese;  garnished with garlic olive oil, oregano, Italian parsley",2019-11-14 20:36:11,"tomato, onion, gruyère cheese, mozzarella cheese","  garnished with garlic olive oil, oregano, Italian parsley",
392,"Roasted eggplant , mozzarella cheese; garnished with house made tzatziki sauce, fried spiced chickpea, mint, Italian parsley",2019-11-14 20:36:11,"roasted eggplant , mozzarella cheese"," garnished with house made tzatziki sauce, fried spiced chickpea, mint, Italian parsley",
393,"Cremini mushroom, caramelized onion, organic baby spinach, pine nut, fresh Asiago cheese, mozzarella cheese; garnished with garlic olive oil , Italian parsley",2019-11-14 20:36:11,"cremini mushroom, caramelized onion, organic baby spinach, pine nut, fresh asiago cheese, mozzarella cheese"," garnished with garlic olive oil , Italian parsley",
394,"Broccolini, onion, cheddar cheese, mozzarella cheese;  garnished with garlic olive oil, lemon zest, Italian parsley",2019-11-14 20:36:11,"broccolini, onion, cheddar cheese, mozzarella cheese","  garnished with garlic olive oil, lemon zest, Italian parsley",
395,"Tomato, onion, Gruyère cheese, mozzarella cheese;  garnished with garlic olive oil, oregano, Italian parsley",2019-11-14 20:36:12,"tomato, onion, gruyère cheese, mozzarella cheese","  garnished with garlic olive oil, oregano, Italian parsley",
396,"Roasted eggplant , mozzarella cheese; garnished with house made tzatziki sauce, fried spiced chickpea, mint, Italian parsley",2019-11-14 20:36:12,"roasted eggplant , mozzarella cheese"," garnished with house made tzatziki sauce, fried spiced chickpea, mint, Italian parsley",
397,"Cremini mushroom, caramelized onion, organic baby spinach, pine nut, fresh Asiago cheese, mozzarella cheese; garnished with garlic olive oil , Italian parsley",2019-11-14 20:36:12,"cremini mushroom, caramelized onion, organic baby spinach, pine nut, fresh asiago cheese, mozzarella cheese"," garnished with garlic olive oil , Italian parsley",
398,"Broccolini, onion, cheddar cheese, mozzarella cheese;  garnished with garlic olive oil, lemon zest, Italian parsley",2019-11-14 20:36:12,"broccolini, onion, cheddar cheese, mozzarella cheese","  garnished with garlic olive oil, lemon zest, Italian parsley",
399,"Tomato, onion, Gruyère cheese, mozzarella cheese;  garnished with garlic olive oil, oregano, Italian parsley",2019-11-14 20:36:13,"tomato, onion, gruyère cheese, mozzarella cheese","  garnished with garlic olive oil, oregano, Italian parsley",
400,"Roasted eggplant , mozzarella cheese; garnished with house made tzatziki sauce, fried spiced chickpea, mint, Italian parsley",2019-11-14 20:36:13,"roasted eggplant , mozzarella cheese"," garnished with house made tzatziki sauce, fried spiced chickpea, mint, Italian parsley",
401,"Cremini mushroom, caramelized onion, organic baby spinach, pine nut, fresh Asiago cheese, mozzarella cheese; garnished with garlic olive oil , Italian parsley",2019-11-14 20:36:13,"cremini mushroom, caramelized onion, organic baby spinach, pine nut, fresh asiago cheese, mozzarella cheese"," garnished with garlic olive oil , Italian parsley",
402,"Broccolini, onion, cheddar cheese, mozzarella cheese;  garnished with garlic olive oil, lemon zest, Italian parsley",2019-11-14 20:36:13,"broccolini, onion, cheddar cheese, mozzarella cheese","  garnished with garlic olive oil, lemon zest, Italian parsley",
403,"Roasted eggplant , mozzarella cheese; garnished with house made tzatziki sauce, fried spiced chickpea, mint, Italian parsley",2019-11-16 07:48:15,"roasted eggplant , mozzarella cheese"," garnished with house made tzatziki sauce, fried spiced chickpea, mint, Italian parsley",
404,"Cremini mushroom, caramelized onion, organic baby spinach, pine nut, fresh Asiago cheese, mozzarella cheese; garnished with garlic olive oil , Italian parsley",2019-11-16 07:48:15,"cremini mushroom, caramelized onion, organic baby spinach, pine nut, fresh asiago cheese, mozzarella cheese"," garnished with garlic olive oil , Italian parsley",
405,"Broccolini, onion, cheddar cheese, mozzarella cheese;  garnished with garlic olive oil, lemon zest, Italian parsley",2019-11-16 07:48:15,"broccolini, onion, cheddar cheese, mozzarella cheese","  garnished with garlic olive oil, lemon zest, Italian parsley",
406,"Roasted eggplant , mozzarella cheese; garnished with house made tzatziki sauce, fried spiced chickpea, mint, Italian parsley",2019-11-16 07:48:16,"roasted eggplant , mozzarella cheese"," garnished with house made tzatziki sauce, fried spiced chickpea, mint, Italian parsley",
407,"Cremini mushroom, caramelized onion, organic baby spinach, pine nut, fresh Asiago cheese, mozzarella cheese; garnished with garlic olive oil , Italian parsley",2019-11-16 07:48:16,"cremini mushroom, caramelized onion, organic baby spinach, pine nut, fresh asiago cheese, mozzarella cheese"," garnished with garlic olive oil , Italian parsley",
408,"Broccolini, onion, cheddar cheese, mozzarella cheese;  garnished with garlic olive oil, lemon zest, Italian parsley",2019-11-16 07:48:16,"broccolini, onion, cheddar cheese, mozzarella cheese","  garnished with garlic olive oil, lemon zest, Italian parsley",
409,"Roasted eggplant , mozzarella cheese; garnished with house made tzatziki sauce, fried spiced chickpea, mint, Italian parsley",2019-11-16 07:48:18,"roasted eggplant , mozzarella cheese"," garnished with house made tzatziki sauce, fried spiced chickpea, mint, Italian parsley",
410,"Cremini mushroom, caramelized onion, organic baby spinach, pine nut, fresh Asiago cheese, mozzarella cheese; garnished with garlic olive oil , Italian parsley",2019-11-16 07:48:18,"cremini mushroom, caramelized onion, organic baby spinach, pine nut, fresh asiago cheese, mozzarella cheese"," garnished with garlic olive oil , Italian parsley",
411,"Broccolini, onion, cheddar cheese, mozzarella cheese;  garnished with garlic olive oil, lemon zest, Italian parsley",2019-11-16 07:48:18,"broccolini, onion, cheddar cheese, mozzarella cheese","  garnished with garlic olive oil, lemon zest, Italian parsley",
412,"Roasted eggplant , mozzarella cheese; garnished with house made tzatziki sauce, fried spiced chickpea, mint, Italian parsley",2019-11-17 10:50:30,"roasted eggplant , mozzarella cheese"," garnished with house made tzatziki sauce, fried spiced chickpea, mint, Italian parsley",
413,"Cremini mushroom, caramelized onion, organic baby spinach, pine nut, fresh Asiago cheese, mozzarella cheese; garnished with garlic olive oil , Italian parsley",2019-11-17 10:50:30,"cremini mushroom, caramelized onion, organic baby spinach, pine nut, fresh asiago cheese, mozzarella cheese"," garnished with garlic olive oil , Italian parsley",
414,"Broccolini, onion, cheddar cheese, mozzarella cheese;  garnished with garlic olive oil, lemon zest, Italian parsley",2019-11-17 10:50:30,"broccolini, onion, cheddar cheese, mozzarella cheese","  garnished with garlic olive oil, lemon zest, Italian parsley",
415,"Cremini mushroom, caramelized onion, baby kale, pine nut, mozzarella cheese, fresh Asiago cheese;  garnished with garlic olive oil , Italian parsley",2019-12-21 09:46:16,"cremini mushroom, caramelized onion, baby kale, pine nut, mozzarella cheese, fresh asiago cheese","  garnished with garlic olive oil , Italian parsley",
438,"Cremini mushroom, onion, goat cheese (Sky Hill Farm), mozzarella cheese;  garnished with garlic olive oil, oregano, Italian parsley",2020-01-13 07:01:39,"cremini mushroom, onion, goat cheese (sky hill farm), mozzarella cheese","  garnished with garlic olive oil, oregano, Italian parsley",
439,"Broccolini, red onion, cheddar cheese, mozzarella cheese;  garnished with garlic olive oil, organic lemon zest, Italian parsley",2020-01-13 07:01:39,"broccolini, red onion, cheddar cheese, mozzarella cheese","  garnished with garlic olive oil, organic lemon zest, Italian parsley",
440,"House made tomato sauce , mozzarella cheese;  garnished with Parmigiano Reggiano cheese , arugula dressed in lemon vinaigrette",2020-01-13 07:01:39,"house made tomato sauce , mozzarella cheese","  garnished with Parmigiano Reggiano cheese , arugula dressed in lemon vinaigrette",
441,"Roasted potato, pasilla pepper, onion, Valbreso feta cheese, mozzarella cheese;  garnished with garlic olive oil, cilantro, lime",2020-01-13 07:01:39,"roasted potato, pasilla pepper, onion, valbreso feta cheese, mozzarella cheese","  garnished with garlic olive oil, cilantro, lime",
442,"Crushed tomato, red onion, Asiago cheese, mozzarella cheese;  garnished with garlic olive oil, oregano, Italian parsley",2020-01-13 07:01:39,"crushed tomato, red onion, asiago cheese, mozzarella cheese","  garnished with garlic olive oil, oregano, Italian parsley",
443,"Cremini mushroom, onion, goat cheese (Sky Hill Farm), mozzarella cheese;  garnished with garlic olive oil, oregano, Italian parsley",2020-01-13 07:01:42,"cremini mushroom, onion, goat cheese (sky hill farm), mozzarella cheese","  garnished with garlic olive oil, oregano, Italian parsley",
444,"Broccolini, red onion, cheddar cheese, mozzarella cheese;  garnished with garlic olive oil, organic lemon zest, Italian parsley",2020-01-13 07:01:42,"broccolini, red onion, cheddar cheese, mozzarella cheese","  garnished with garlic olive oil, organic lemon zest, Italian parsley",
445,"House made tomato sauce , mozzarella cheese;  garnished with Parmigiano Reggiano cheese , arugula dressed in lemon vinaigrette",2020-01-13 07:01:42,"house made tomato sauce , mozzarella cheese","  garnished with Parmigiano Reggiano cheese , arugula dressed in lemon vinaigrette",
446,"Roasted potato, pasilla pepper, onion, Valbreso feta cheese, mozzarella cheese;  garnished with garlic olive oil, cilantro, lime",2020-01-13 07:01:42,"roasted potato, pasilla pepper, onion, valbreso feta cheese, mozzarella cheese","  garnished with garlic olive oil, cilantro, lime",
447,"Crushed tomato, red onion, Asiago cheese, mozzarella cheese;  garnished with garlic olive oil, oregano, Italian parsley",2020-01-13 07:01:42,"crushed tomato, red onion, asiago cheese, mozzarella cheese","  garnished with garlic olive oil, oregano, Italian parsley",
448,"Cremini mushroom, onion, goat cheese (Sky Hill Farm), mozzarella cheese;  garnished with garlic olive oil, oregano, Italian parsley",2020-01-13 07:01:43,"cremini mushroom, onion, goat cheese (sky hill farm), mozzarella cheese","  garnished with garlic olive oil, oregano, Italian parsley",
449,"Broccolini, red onion, cheddar cheese, mozzarella cheese;  garnished with garlic olive oil, organic lemon zest, Italian parsley",2020-01-13 07:01:43,"broccolini, red onion, cheddar cheese, mozzarella cheese","  garnished with garlic olive oil, organic lemon zest, Italian parsley",
450,"House made tomato sauce , mozzarella cheese;  garnished with Parmigiano Reggiano cheese , arugula dressed in lemon vinaigrette",2020-01-13 07:01:43,"house made tomato sauce , mozzarella cheese","  garnished with Parmigiano Reggiano cheese , arugula dressed in lemon vinaigrette",
451,"Roasted potato, pasilla pepper, onion, Valbreso feta cheese, mozzarella cheese;  garnished with garlic olive oil, cilantro, lime",2020-01-13 07:01:43,"roasted potato, pasilla pepper, onion, valbreso feta cheese, mozzarella cheese","  garnished with garlic olive oil, cilantro, lime",
